GEO_ID,NAME,S1401_C01_010E,S1401_C01_012E
0500000US48005,"Angelina County, Texas",4230,3168
0500000US48021,"Bastrop County, Texas",2239,N
0500000US48027,"Bell County, Texas",28878,17085
0500000US48029,"Bexar County, Texas",129873,72799
0500000US48037,"Bowie County, Texas",2553,2064
0500000US48039,"Brazoria County, Texas",18313,9165
0500000US48041,"Brazos County, Texas",53707,26373
0500000US48061,"Cameron County, Texas",24340,15211
0500000US48085,"Collin County, Texas",68276,37858
0500000US48091,"Comal County, Texas",7633,3928
0500000US48099,"Coryell County, Texas",5475,3922
0500000US48113,"Dallas County, Texas",139117,80286
0500000US48121,"Denton County, Texas",73622,43788
0500000US48135,"Ector County, Texas",8053,4692
0500000US48139,"Ellis County, Texas",8751,5474
0500000US48141,"El Paso County, Texas",64353,31071
0500000US48157,"Fort Bend County, Texas",59442,32936
0500000US48167,"Galveston County, Texas",26234,13832
0500000US48181,"Grayson County, Texas",6060,3251
0500000US48183,"Gregg County, Texas",6232,3059
0500000US48187,"Guadalupe County, Texas",8669,4484
0500000US48201,"Harris County, Texas",286481,157044
0500000US48203,"Harrison County, Texas",3736,2041
0500000US48209,"Hays County, Texas",32850,17700
0500000US48213,"Henderson County, Texas",2978,1507
0500000US48215,"Hidalgo County, Texas",49304,29517
0500000US48231,"Hunt County, Texas",5044,2868
0500000US48245,"Jefferson County, Texas",10856,6073
0500000US48251,"Johnson County, Texas",7749,4399
0500000US48257,"Kaufman County, Texas",9314,5261
0500000US48291,"Liberty County, Texas",2278,1086
0500000US48303,"Lubbock County, Texas",38485,20641
0500000US48309,"McLennan County, Texas",25574,14393
0500000US48329,"Midland County, Texas",8407,3980
0500000US48339,"Montgomery County, Texas",31303,16714
0500000US48355,"Nueces County, Texas",20252,12430
0500000US48361,"Orange County, Texas",2828,1405
0500000US48367,"Parker County, Texas",6924,3704
0500000US48375,"Potter County, Texas",6002,2969
0500000US48381,"Randall County, Texas",11123,5287
0500000US48397,"Rockwall County, Texas",4595,2792
0500000US48409,"San Patricio County, Texas",2642,1804
0500000US48423,"Smith County, Texas",13585,8133
0500000US48427,"Starr County, Texas",3913,3169
0500000US48439,"Tarrant County, Texas",136825,79060
0500000US48441,"Taylor County, Texas",12799,7250
0500000US48451,"Tom Green County, Texas",8762,5242
0500000US48453,"Travis County, Texas",96487,48351
0500000US48469,"Victoria County, Texas",3700,3164
0500000US48471,"Walker County, Texas",13361,6390
0500000US48479,"Webb County, Texas",18402,10775
0500000US48485,"Wichita County, Texas",6608,3852
0500000US48491,"Williamson County, Texas",33051,18116
0500000US48497,"Wise County, Texas",2381,1041
