State,Measure Names,Measure Values
Alabama,Electric,680
Alaska,Electric,94
Arizona,Electric,2257
Arkansas,Electric,453
California,Electric,41225
Colorado,Electric,3978
Connecticut,Electric,1430
Delaware,Electric,314
District of Columbia,Electric,822
Florida,Electric,6723
Georgia,Electric,3939
Hawaii,Electric,833
Idaho,Electric,345
Illinois,Electric,2756
Indiana,Electric,948
Iowa,Electric,582
Kansas,Electric,1017
Kentucky,Electric,527
Louisiana,Electric,385
Maine,Electric,629
Maryland,Electric,3416
Massachusetts,Electric,4871
Michigan,Electric,1833
Minnesota,Electric,1390
Mississippi,Electric,433
Missouri,Electric,2200
Montana,Electric,212
Nebraska,Electric,377
Nevada,Electric,1353
New Hampshire,Electric,351
New Jersey,Electric,2008
New Mexico,Electric,457
New York,Electric,7621
North Carolina,Electric,2784
North Dakota,Electric,139
Ohio,Electric,2203
Oklahoma,Electric,1088
Oregon,Electric,2439
Pennsylvania,Electric,2665
Rhode Island,Electric,628
South Carolina,Electric,862
South Dakota,Electric,156
Tennessee,Electric,1647
Texas,Electric,5486
Utah,Electric,1978
Vermont,Electric,871
Virginia,Electric,3301
Washington,Electric,4328
West Virginia,Electric,307
Wisconsin,Electric,949
Wyoming,Electric,184
