GEO_ID,NAME,Pop_25andover,Pop_25andoverwithbachelorsorhigher
17019,"Champaign County, Illinois",119676,57091
17031,"Cook County, Illinois",3622494,1516510
17037,"DeKalb County, Illinois",63143,21353
17043,"DuPage County, Illinois",641066,327804
17089,"Kane County, Illinois",343222,130231
17091,"Kankakee County, Illinois",71036,15305
17093,"Kendall County, Illinois",84423,25191
17097,"Lake County, Illinois",472440,221411
17099,"LaSalle County, Illinois",77662,15909
17111,"McHenry County, Illinois",215133,75287
17113,"McLean County, Illinois",104443,49538
17115,"Macon County, Illinois",70757,13450
17119,"Madison County, Illinois",184762,55050
17143,"Peoria County, Illinois",120639,42752
17161,"Rock Island County, Illinois",98000,22869
17163,"St. Clair County, Illinois",175589,53870
17167,"Sangamon County, Illinois",136862,50725
17179,"Tazewell County, Illinois",91792,26995
17183,"Vermilion County, Illinois",51090,8130
17197,"Will County, Illinois",466633,174336
17199,"Williamson County, Illinois",48048,12413
17201,"Winnebago County, Illinois",193485,49386
