GEO_ID,NAME,Pop_Enrolled,Pop_Females
48005,"Angelina County, Texas",4230,3168
48027,"Bell County, Texas",28878,17085
48029,"Bexar County, Texas",129873,72799
48037,"Bowie County, Texas",2553,2064
48039,"Brazoria County, Texas",18313,9165
48041,"Brazos County, Texas",53707,26373
48061,"Cameron County, Texas",24340,15211
48085,"Collin County, Texas",68276,37858
48091,"Comal County, Texas",7633,3928
48099,"Coryell County, Texas",5475,3922
48113,"Dallas County, Texas",139117,80286
48121,"Denton County, Texas",73622,43788
48135,"Ector County, Texas",8053,4692
48139,"Ellis County, Texas",8751,5474
48141,"El Paso County, Texas",64353,31071
48157,"Fort Bend County, Texas",59442,32936
48167,"Galveston County, Texas",26234,13832
48181,"Grayson County, Texas",6060,3251
48183,"Gregg County, Texas",6232,3059
48187,"Guadalupe County, Texas",8669,4484
48201,"Harris County, Texas",286481,157044
48203,"Harrison County, Texas",3736,2041
48209,"Hays County, Texas",32850,17700
48213,"Henderson County, Texas",2978,1507
48215,"Hidalgo County, Texas",49304,29517
48231,"Hunt County, Texas",5044,2868
48245,"Jefferson County, Texas",10856,6073
48251,"Johnson County, Texas",7749,4399
48257,"Kaufman County, Texas",9314,5261
48291,"Liberty County, Texas",2278,1086
48303,"Lubbock County, Texas",38485,20641
48309,"McLennan County, Texas",25574,14393
48329,"Midland County, Texas",8407,3980
48339,"Montgomery County, Texas",31303,16714
48355,"Nueces County, Texas",20252,12430
48361,"Orange County, Texas",2828,1405
48367,"Parker County, Texas",6924,3704
48375,"Potter County, Texas",6002,2969
48381,"Randall County, Texas",11123,5287
48397,"Rockwall County, Texas",4595,2792
48409,"San Patricio County, Texas",2642,1804
48423,"Smith County, Texas",13585,8133
48427,"Starr County, Texas",3913,3169
48439,"Tarrant County, Texas",136825,79060
48441,"Taylor County, Texas",12799,7250
48451,"Tom Green County, Texas",8762,5242
48453,"Travis County, Texas",96487,48351
48469,"Victoria County, Texas",3700,3164
48471,"Walker County, Texas",13361,6390
48479,"Webb County, Texas",18402,10775
48485,"Wichita County, Texas",6608,3852
48491,"Williamson County, Texas",33051,18116
48497,"Wise County, Texas",2381,1041
