GEO_ID,NAME,Pop_25yrandover,Pop_Bachelorandover,Percentpop25andoverwithbachelorsandover
48005,Angelina,57616,10570,18
48021,Bastrop,71262,18523,26
48027,Bell,232413,65676,28
48029,Bexar,1314267,405946,31
48037,Bowie,62113,14628,24
48039,Brazoria,249035,83180,33
48041,Brazos,129137,54472,42
48061,Cameron,254651,52427,21
48085,Collin,738091,404104,55
48091,Comal,122483,49764,41
48099,Coryell,52838,10000,19
48113,Dallas,1681026,577812,34
48121,Denton,631822,307641,49
48135,Ector,95780,15488,16
48139,Ellis,131498,35314,27
48141,El Paso,542747,141453,26
48157,Fort Bend,560448,283234,51
48167,Galveston,241001,84222,35
48181,Grayson,94750,25246,27
48183,Gregg,79868,17838,22
48187,Guadalupe,118836,38711,33
48201,Harris,3051418,1023174,34
48203,Harrison,45617,10241,22
48209,Hays,156995,60842,39
48213,Henderson,58835,10984,19
48215,Hidalgo,504147,100621,20
48231,Hunt,69510,15906,23
48245,Jefferson,168581,32418,19
48251,Johnson,123020,30175,25
48257,Kaufman,99272,27540,28
48291,Liberty,60623,7254,12
48303,Lubbock,187893,63341,34
48309,McLennan,161943,45633,28
48329,Midland,107121,37264,35
48339,Montgomery,425252,173202,41
48355,Nueces,231959,57163,25
48361,Orange,57164,9086,16
48367,Parker,107156,35277,33
48375,Potter,74656,14886,20
48381,Randall,94431,31587,33
48397,Rockwall,77646,35698,46
48409,San Patricio,45232,7601,17
48423,Smith,156651,43339,28
48427,Starr,36389,4633,13
48439,Tarrant,1379726,471908,34
48441,Taylor,88086,24090,27
48451,Tom Green,76254,18125,24
48453,Travis,919819,512336,56
48469,Victoria,58677,11780,20
48471,Walker,48403,8832,18
48479,Webb,152011,31322,21
48485,Wichita,83133,19363,23
48491,Williamson,434704,209215,48
48497,Wise,49028,9048,18
